=== Мониторинг приложения на порту 3010 ===
Начало: Чт мая  7 09:54:03 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
09:54:04         |  6.4 |  2.7 |    432 |     12
09:54:06         |  6.4 |  2.5 |    412 |     12
09:54:08         |  6.4 |  2.5 |    415 |     12
09:54:10         |  6.4 |  2.5 |    412 |     12
09:54:12         |  6.5 |  2.5 |    409 |     12
09:54:14         |  6.5 |  2.7 |    431 |     12
09:54:16         |  6.5 |  2.7 |    415 |     12
09:54:18         |  6.5 |  2.7 |    432 |     12
09:54:20         |  6.5 |  2.6 |    417 |     12
09:54:22         |  6.6 |  2.6 |    417 |     12
09:54:24         |  6.6 |  2.5 |    412 |     12
09:54:26         |  6.6 |  2.6 |    428 |     12
09:54:28         |  6.6 |  2.6 |    427 |     12
09:54:30         |  6.6 |  2.7 |    432 |     12
09:54:33         |  6.6 |  2.7 |    432 |     12
09:54:35         |  6.6 |  2.6 |    427 |     12
09:54:37         |  6.6 |  2.6 |    426 |     12
09:54:39         |  6.6 |  2.6 |    422 |     12
09:54:41         |  6.6 |  2.5 |    422 |     12
09:54:43         |  6.6 |  2.5 |    412 |     12
09:54:45         |  6.7 |  2.5 |    412 |     12
09:54:47         |  6.7 |  2.7 |    432 |     12
09:54:50         |  6.7 |  2.6 |    428 |     12
09:54:52         |  6.7 |  2.7 |    432 |     12
09:54:54         |  6.7 |  2.6 |    422 |     12
09:54:56         |  6.7 |  2.7 |    432 |     12
09:54:58         |  6.7 |  2.6 |    422 |     12
09:55:00         |  6.7 |  2.6 |    423 |     12
09:55:02         |  6.7 |  2.6 |    427 |     12
09:55:04         |  6.7 |  2.6 |    427 |     12
09:55:06         |  6.7 |  2.6 |    422 |     12
09:55:08         |  6.8 |  2.6 |    428 |     12
09:55:10         |  6.8 |  2.6 |    427 |     12
09:55:12         |  6.8 |  2.6 |    422 |     12
09:55:14         |  6.8 |  2.6 |    422 |     12
09:55:17         |  6.8 |  2.5 |    412 |     12
09:55:19         |  6.8 |  2.6 |    422 |     12
09:55:21         |  6.8 |  2.7 |    432 |     12
09:55:23         |  6.8 |  2.6 |    422 |     12
09:55:25         |  6.9 |  2.5 |    409 |     12
09:55:27         |  6.9 |  2.5 |    414 |     12
09:55:29         |  6.9 |  2.6 |    419 |     12
09:55:31         |  6.9 |  2.5 |    416 |     12
09:55:33         |  6.9 |  2.6 |    433 |     12
09:55:35         |  6.9 |  2.5 |    412 |     12
09:55:37         |  6.9 |  2.5 |    412 |     12
09:55:39         |  7.0 |  2.6 |    427 |     12
09:55:41         |  7.0 |  2.6 |    428 |     12
09:55:43         |  7.0 |  2.6 |    427 |     12
09:55:46         |  7.0 |  2.5 |    415 |     12
09:55:48         |  7.0 |  2.7 |    432 |     12
09:55:50         |  7.0 |  2.6 |    427 |     12
09:55:52         |  7.0 |  2.6 |    422 |     12
09:55:54         |  7.0 |  2.7 |    432 |     12
09:55:56         |  7.0 |  2.6 |    423 |     12
09:55:58         |  7.0 |  2.6 |    428 |     12
09:56:00         |  7.0 |  2.7 |    432 |     12
09:56:02         |  7.1 |  2.5 |    412 |     12
09:56:04         |  7.1 |  2.6 |    423 |     12
09:56:06         |  7.1 |  2.5 |    412 |     12
09:56:08         |  7.1 |  2.6 |    427 |     12
09:56:10         |  7.1 |  2.7 |    434 |     12
09:56:13         |  7.1 |  2.5 |    412 |     12
09:56:15         |  7.1 |  2.5 |    412 |     12
09:56:17         |  7.1 |  2.6 |    423 |     12
09:56:19         |  7.1 |  2.6 |    423 |     12
09:56:21         |  7.1 |  2.5 |    412 |     12
09:56:23         |  7.1 |  2.6 |    427 |     12
09:56:25         |  7.2 |  2.5 |    412 |     12
09:56:27         |  7.2 |  2.6 |    418 |     12
09:56:29         |  7.2 |  2.6 |    422 |     12
09:56:31         |  7.2 |  2.6 |    422 |     12
09:56:33         |  7.2 |  2.6 |    419 |     12
09:56:35         |  7.2 |  2.5 |    409 |     12
09:56:37         |  7.2 |  2.6 |    424 |     12
09:56:39         |  7.2 |  2.6 |    424 |     12
09:56:42         |  7.3 |  2.6 |    424 |     12
09:56:44         |  7.3 |  2.5 |    414 |     12
09:56:46         |  7.3 |  2.5 |    413 |     12
09:56:48         |  7.3 |  2.6 |    423 |     12
09:56:50         |  7.3 |  2.7 |    433 |     12
09:56:52         |  7.3 |  2.6 |    422 |     12
09:56:54         |  7.3 |  2.5 |    416 |     12
09:56:56         |  7.3 |  2.7 |    432 |     12
09:56:58         |  7.3 |  2.7 |    432 |     12
09:57:00         |  7.4 |  2.6 |    428 |     12
09:57:02         |  7.4 |  2.6 |    422 |     12
09:57:04         |  7.4 |  2.7 |    432 |     12
