=== Мониторинг приложения на порту 3010 ===
Начало: Чт мая  7 08:56:10 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
08:56:10         | 12.7 |  0.8 |    140 |     12
08:56:12         | 14.2 |  1.2 |    201 |     12
08:56:14         | 13.8 |  1.3 |    216 |     12
08:56:16         | 13.3 |  1.3 |    222 |     12
08:56:18         | 12.9 |  1.4 |    207 |     12
08:56:20         | 12.7 |  1.3 |    223 |     12
08:56:22         | 12.3 |  1.4 |    228 |     12
08:56:24         | 11.9 |  1.2 |    207 |     12
08:56:26         | 11.5 |  1.2 |    204 |     12
08:56:28         | 11.9 |  0.9 |    156 |     12
08:56:31         | 11.6 |  0.9 |    157 |     12
08:56:33         | 11.4 |  0.9 |    149 |     12
08:56:35         | 11.2 |  0.9 |    157 |     12
08:56:37         | 11.0 |  0.9 |    157 |     12
08:56:39         | 10.9 |  0.9 |    152 |     12
08:56:41         | 10.6 |  0.9 |    157 |     12
08:56:43         | 10.5 |  0.9 |    153 |     12
08:56:45         | 10.3 |  0.9 |    157 |     12
08:56:47         | 10.1 |  0.9 |    153 |     12
08:56:49         | 10.0 |  0.9 |    157 |     12
08:56:51         |  9.9 |  0.9 |    149 |     12
08:56:53         |  9.8 |  0.9 |    153 |     12
08:56:55         |  9.8 |  0.9 |    153 |     12
08:56:57         |  9.7 |  0.9 |    154 |     12
08:56:59         |  9.6 |  0.9 |    154 |     12
08:57:01         |  9.5 |  0.9 |    154 |     12
08:57:03         |  9.3 |  0.9 |    154 |     12
08:57:06         |  9.3 |  1.0 |    161 |     12
08:57:08         |  9.2 |  0.9 |    154 |     12
08:57:10         |  9.1 |  0.9 |    154 |     12
08:57:12         |  9.1 |  0.9 |    154 |     12
08:57:14         |  9.7 |  1.2 |    201 |     12
08:57:16         |  9.5 |  1.2 |    201 |     12
08:57:18         |  9.4 |  1.3 |    215 |     12
08:57:20         |  9.4 |  1.2 |    205 |     12
08:57:22         |  9.3 |  1.3 |    221 |     12
08:57:24         |  9.2 |  1.4 |    226 |     12
08:57:26         |  9.2 |  1.3 |    221 |     12
08:57:28         |  9.2 |  1.3 |    221 |     12
08:57:30         |  9.2 |  1.3 |    215 |     12
08:57:32         |  9.2 |  1.3 |    215 |     12
08:57:34         |  9.2 |  1.4 |    226 |     12
08:57:36         |  9.0 |  1.3 |    215 |     12
08:57:39         |  9.2 |  0.9 |    146 |     12
08:57:41         |  9.2 |  0.9 |    153 |     12
08:57:43         |  9.1 |  1.0 |    160 |     12
08:57:45         |  9.1 |  0.9 |    154 |     12
08:57:47         |  9.1 |  0.9 |    154 |     12
08:57:49         |  9.0 |  0.9 |    154 |     12
08:57:51         |  8.9 |  0.9 |    154 |     12
08:57:53         |  9.0 |  0.9 |    159 |     12
08:57:55         |  9.0 |  0.9 |    155 |     12
08:57:57         |  9.0 |  0.9 |    155 |     12
08:57:59         |  8.9 |  0.9 |    155 |     12
08:58:01         |  8.8 |  0.9 |    155 |     12
08:58:03         |  8.8 |  0.9 |    155 |     12
08:58:05         |  8.8 |  1.0 |    160 |     12
08:58:07         |  8.8 |  0.9 |    155 |     12
08:58:09         |  8.7 |  0.9 |    155 |     12
08:58:11         |  8.7 |  0.9 |    156 |     12
08:58:14         |  8.7 |  0.9 |    156 |     12
08:58:16         |  8.7 |  0.9 |    156 |     12
08:58:18         |  9.0 |  1.2 |    202 |     12
08:58:20         |  8.9 |  1.2 |    202 |     12
08:58:22         |  8.8 |  1.3 |    216 |     12
08:58:24         |  8.8 |  1.4 |    227 |     12
08:58:26         |  8.8 |  1.2 |    206 |     12
08:58:28         |  8.7 |  1.2 |    206 |     12
08:58:30         |  8.7 |  1.2 |    206 |     12
08:58:32         |  8.7 |  1.2 |    206 |     12
08:58:34         |  8.6 |  1.2 |    206 |     12
08:58:36         |  8.6 |  1.2 |    206 |     12
08:58:38         |  8.5 |  1.2 |    206 |     12
08:58:40         |  8.5 |  1.2 |    206 |     12
08:58:42         |  8.5 |  1.2 |    208 |     12
08:58:44         |  8.4 |  1.2 |    207 |     12
08:58:46         |  8.3 |  1.2 |    207 |     12
08:58:49         |  8.3 |  1.2 |    207 |     12
08:58:51         |  8.3 |  1.3 |    211 |     12
08:58:53         |  8.2 |  1.2 |    207 |     12
08:58:55         |  8.2 |  1.2 |    207 |     12
08:58:57         |  8.2 |  1.2 |    203 |     12
08:58:59         |  8.2 |  1.2 |    207 |     12
08:59:01         |  8.1 |  1.2 |    207 |     12
08:59:03         |  8.1 |  1.2 |    207 |     12
08:59:05         |  8.0 |  1.2 |    207 |     12
08:59:07         |  8.0 |  1.2 |    207 |     12
08:59:09         |  8.0 |  1.3 |    211 |     12
08:59:11         |  8.0 |  1.2 |    207 |     12
08:59:13         |  7.9 |  1.2 |    207 |     12
08:59:15         |  7.9 |  1.2 |    207 |     12
08:59:17         |  7.9 |  1.2 |    203 |     12
08:59:19         |  7.8 |  1.3 |    211 |     12
08:59:21         |  7.9 |  1.3 |    219 |     12
08:59:24         |  7.9 |  1.3 |    223 |     12
08:59:26         |  7.9 |  1.5 |    240 |     12
08:59:28         |  7.9 |  1.3 |    220 |     12
08:59:30         |  7.9 |  1.5 |    240 |     12
08:59:32         |  7.9 |  1.4 |    229 |     12
08:59:34         |  7.8 |  1.4 |    234 |     12
08:59:36         |  7.8 |  1.4 |    229 |     12
08:59:38         |  7.8 |  1.5 |    240 |     12
08:59:40         |  7.7 |  1.3 |    218 |     12
08:59:42         |  7.7 |  1.4 |    234 |     12
08:59:44         |  7.7 |  1.3 |    218 |     12
08:59:46         |  7.8 |  0.9 |    157 |     12
08:59:48         |  7.9 |  1.0 |    161 |     12
08:59:50         |  7.8 |  0.9 |    156 |     12
08:59:52         |  7.8 |  1.0 |    161 |     12
08:59:54         |  7.7 |  0.9 |    156 |     12
08:59:57         |  7.7 |  0.9 |    156 |     12
08:59:59         |  7.7 |  0.9 |    156 |     12
09:00:01         |  7.7 |  0.9 |    153 |     12
09:00:03         |  7.7 |  0.9 |    156 |     12
09:00:05         |  7.7 |  0.9 |    156 |     12
09:00:07         |  7.6 |  1.0 |    161 |     12
09:00:09         |  7.6 |  0.9 |    157 |     12
09:00:11         |  7.6 |  1.0 |    161 |     12
09:00:13         |  7.6 |  0.9 |    157 |     12
09:00:15         |  7.6 |  1.0 |    162 |     12
09:00:17         |  7.6 |  0.9 |    158 |     12
09:00:19         |  7.6 |  0.9 |    158 |     12
09:00:21         |  7.5 |  0.9 |    159 |     12
09:00:23         |  7.5 |  0.9 |    159 |     12
09:00:25         |  7.7 |  1.2 |    202 |     12
