=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  5 10:34:46 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
10:34:46         | 11.3 |  1.0 |    175 |     12
10:34:48         | 11.0 |  1.9 |    311 |     12
10:34:50         | 11.4 |  1.9 |    311 |     12
10:34:52         | 11.0 |  1.9 |    311 |     12
10:34:54         | 11.4 |  1.9 |    318 |     12
10:34:56         | 11.5 |  2.3 |    374 |     12
10:34:58         | 11.1 |  2.4 |    394 |     12
10:35:00         | 11.3 |  2.5 |    412 |     12
10:35:02         | 11.5 |  2.6 |    419 |     12
10:35:04         | 11.4 |  2.9 |    467 |     12
10:35:06         | 11.1 |  2.9 |    467 |     12
10:35:09         | 11.2 |  3.0 |    487 |     12
10:35:11         | 11.3 |  3.3 |    532 |     12
10:35:13         | 11.3 |  3.3 |    542 |     12
10:35:15         | 11.3 |  3.3 |    542 |     12
10:35:17         | 11.6 |  3.7 |    594 |     12
10:35:19         | 11.4 |  3.7 |    596 |     12
10:35:21         | 11.6 |  3.7 |    597 |     12
10:35:23         | 11.8 |  3.7 |    598 |     12
10:35:25         | 11.7 |  3.7 |    601 |     12
10:35:27         | 11.5 |  3.7 |    598 |     12
10:35:29         | 11.6 |  3.7 |    605 |     12
10:35:31         | 11.8 |  3.7 |    601 |     12
10:35:33         | 11.6 |  3.7 |    601 |     12
10:35:35         | 11.5 |  3.7 |    601 |     12
10:35:38         | 11.8 |  3.7 |    604 |     12
10:35:40         | 11.5 |  3.7 |    601 |     12
10:35:42         | 11.6 |  3.7 |    601 |     12
10:35:44         | 11.7 |  3.7 |    601 |     12
10:35:46         | 11.9 |  3.8 |    618 |     12
10:35:48         | 11.6 |  4.1 |    660 |     12
10:35:50         | 11.8 |  4.1 |    660 |     12
10:35:52         | 11.9 |  4.2 |    685 |     12
10:35:54         | 12.0 |  4.5 |    726 |     12
10:35:56         | 11.7 |  4.6 |    742 |     12
10:35:58         | 11.7 |  4.6 |    742 |     12
10:36:00         | 12.0 |  4.6 |    747 |     12
10:36:02         | 12.1 |  4.6 |    743 |     12
10:36:05         | 11.7 |  4.6 |    743 |     12
10:36:07         | 11.8 |  4.6 |    743 |     12
10:36:09         | 12.1 |  4.6 |    743 |     12
10:36:11         | 11.8 |  4.6 |    743 |     12
10:36:13         | 12.0 |  4.6 |    743 |     12
10:36:15         | 12.2 |  4.6 |    746 |     12
10:36:17         | 12.1 |  4.6 |    743 |     12
10:36:19         | 11.9 |  4.6 |    743 |     12
10:36:21         | 12.2 |  4.6 |    743 |     12
10:36:23         | 11.9 |  4.6 |    743 |     12
10:36:25         | 12.1 |  4.6 |    743 |     12
