=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  8 10:15:23 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
10:15:23         | 12.5 |  0.7 |    123 |     12
10:15:25         | 16.2 |  1.2 |    215 |     12
10:15:27         | 12.8 |  1.4 |    222 |     12
10:15:29         | 11.9 |  1.5 |    243 |     12
10:15:32         | 13.0 |  1.5 |    253 |     12
10:15:34         | 12.7 |  1.7 |    269 |     12
10:15:36         | 12.5 |  1.7 |    269 |     12
10:15:38         | 12.0 |  1.8 |    289 |     12
10:15:40         | 13.0 |  1.8 |    289 |     12
10:15:42         | 12.5 |  1.8 |    290 |     12
10:15:44         | 12.7 |  1.9 |    312 |     12
10:15:46         | 13.2 |  1.9 |    316 |     12
10:15:48         | 13.5 |  2.0 |    335 |     12
10:15:50         | 13.3 |  2.1 |    352 |     12
10:15:52         | 13.2 |  2.2 |    358 |     12
10:15:54         | 13.7 |  2.2 |    362 |     12
10:15:56         | 13.9 |  2.3 |    382 |     12
10:15:58         | 13.7 |  2.4 |    386 |     12
10:16:01         | 13.4 |  2.5 |    403 |     12
10:16:03         | 13.2 |  2.5 |    403 |     12
10:16:05         | 12.9 |  2.5 |    404 |     12
10:16:07         | 13.3 |  2.6 |    426 |     12
10:16:09         | 12.9 |  2.6 |    431 |     12
10:16:11         | 13.0 |  2.7 |    448 |     12
10:16:13         | 13.2 |  2.8 |    465 |     12
10:16:15         | 12.8 |  2.9 |    471 |     12
10:16:17         | 12.6 |  2.9 |    476 |     12
10:16:19         | 12.9 |  3.0 |    496 |     12
10:16:21         | 12.6 |  3.0 |    499 |     12
10:16:23         | 12.9 |  3.2 |    505 |     12
10:16:25         | 12.5 |  3.2 |    509 |     12
10:16:28         | 12.9 |  3.2 |    506 |     12
10:16:30         | 12.4 |  3.2 |    506 |     12
10:16:32         | 12.8 |  3.0 |    496 |     12
10:16:34         | 12.7 |  3.2 |    507 |     12
10:16:36         | 12.9 |  3.2 |    503 |     12
10:16:38         | 12.5 |  3.2 |    507 |     12
10:16:40         | 12.6 |  3.2 |    503 |     12
10:16:42         | 12.4 |  3.2 |    503 |     12
10:16:44         | 12.3 |  3.2 |    507 |     12
10:16:46         | 12.3 |  3.2 |    504 |     12
10:16:48         | 12.2 |  3.2 |    507 |     12
10:16:50         | 12.3 |  3.2 |    506 |     12
10:16:52         | 12.1 |  3.2 |    506 |     12
10:16:55         | 12.0 |  3.2 |    510 |     12
10:16:57         | 12.2 |  3.2 |    506 |     12
10:16:59         | 11.7 |  3.2 |    510 |     12
10:17:01         | 12.2 |  3.2 |    506 |     12
10:17:03         | 11.7 |  3.2 |    506 |     12
10:17:05         | 11.8 |  3.2 |    506 |     12
10:17:07         | 11.7 |  3.2 |    506 |     12
