=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  6 11:24:46 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
11:24:46         |  9,3 |  1,4 |    234 |     12
11:24:48         |  9,6 |  2,0 |    335 |     12
11:24:50         |  9,3 |  2,4 |    397 |     12
11:24:52         |  9,4 |  1,8 |    301 |     12
11:24:54         |  8,7 |  2,2 |    365 |     12
11:24:56         |  8,9 |  2,5 |    414 |     12
11:24:58         |  9,1 |  2,1 |    351 |     12
11:25:00         |  9,4 |  2,4 |    398 |     12
11:25:02         |  9,0 |  2,3 |    382 |     12
11:25:04         |  9,3 |  2,9 |    482 |     12
11:25:06         |  9,0 |  2,7 |    450 |     12
11:25:08         |  9,2 |  3,2 |    534 |     12
11:25:10         |  9,0 |  3,0 |    501 |     12
11:25:12         |  9,4 |  3,2 |    534 |     12
11:25:14         |  9,0 |  3,6 |    600 |     12
11:25:16         |  9,7 |  4,0 |    666 |     12
11:25:18         |  9,2 |  4,2 |    699 |     12
11:25:20         |  9,9 |  4,0 |    666 |     12
11:25:22         |  9,7 |  3,4 |    568 |     12
11:25:24         |  9,9 |  4,1 |    683 |     12
11:25:26         |  9,8 |  4,2 |    699 |     12
11:25:28         | 10,1 |  3,2 |    536 |     12
11:25:30         |  9,2 |  3,6 |    601 |     12
11:25:32         | 10,1 |  4,1 |    683 |     12
11:25:34         |  9,6 |  4,0 |    668 |     12
11:25:36         | 10,1 |  3,9 |    651 |     12
11:25:38         |  9,9 |  4,0 |    667 |     12
11:25:40         |  9,9 |  3,5 |    583 |     12
11:25:42         | 10,0 |  4,0 |    669 |     12
11:25:44         | 10,3 |  3,7 |    615 |     12
11:25:46         |  9,5 |  4,0 |    667 |     12
11:25:48         | 10,1 |  3,9 |    649 |     12
11:25:50         |  9,7 |  3,8 |    634 |     12
11:25:52         |  9,6 |  4,2 |    702 |     12
11:25:54         |  9,9 |  4,9 |    814 |     12
11:25:56         |  9,7 |  4,9 |    816 |     12
11:25:58         | 10,1 |  4,8 |    799 |     12
11:26:00         |  9,6 |  4,5 |    751 |     12
11:26:02         | 10,2 |  4,5 |    752 |     12
11:26:04         |  9,8 |  4,2 |    702 |     12
11:26:06         |  9,7 |  4,6 |    767 |     12
11:26:08         | 10,4 |  4,4 |    735 |     12
11:26:10         |  9,7 |  5,0 |    833 |     12
11:26:12         |  9,7 |  4,6 |    766 |     12
11:26:14         | 10,2 |  4,4 |    733 |     12
11:26:16         |  9,8 |  5,1 |    849 |     12
11:26:18         |  9,9 |  4,5 |    752 |     12
11:26:20         | 10,4 |  4,3 |    717 |     12
11:26:22         | 10,1 |  4,8 |    798 |     12
11:26:24         |  9,9 |  4,3 |    719 |     12
11:26:26         |  9,8 |  4,6 |    766 |     12
11:26:28         | 10,6 |  4,7 |    784 |     12
11:26:30         | 10,0 |  4,8 |    801 |     12
11:26:32         | 10,1 |  4,3 |    718 |     12
11:26:34         | 10,1 |  4,8 |    800 |     12
11:26:36         | 10,7 |  5,1 |    849 |     12
11:26:38         | 10,7 |  4,1 |    684 |     12
11:26:40         | 10,2 |  4,1 |    683 |     12
11:26:42         | 10,3 |  4,6 |    767 |     12
11:26:44         | 10,7 |  4,8 |    800 |     12
11:26:46         | 10,7 |  5,1 |    850 |     12
11:26:48         | 10,8 |  4,9 |    818 |     12
11:26:50         | 10,4 |  4,7 |    785 |     12
11:26:52         | 10,1 |  4,8 |    801 |     12
11:26:54         | 10,4 |  5,0 |    833 |     12
11:26:56         | 10,6 |  4,6 |    766 |     12
11:26:58         | 10,7 |  4,3 |    716 |     12
11:27:00         | 10,5 |  5,0 |    834 |     12
11:27:02         | 10,5 |  4,9 |    817 |     12
11:27:04         | 10,5 |  4,2 |    701 |     12
11:27:06         | 11,0 |  4,4 |    736 |     12
11:27:08         | 10,6 |  4,9 |    818 |     12
11:27:10         | 10,8 |  5,0 |    834 |     12
11:27:12         | 10,5 |  4,4 |    736 |     12
11:27:14         | 11,0 |  4,4 |    735 |     12
11:27:16         | 10,5 |  5,0 |    832 |     12
11:27:18         | 10,8 |  5,0 |    834 |     12
11:27:20         | 11,0 |  4,7 |    783 |     12
11:27:22         | 10,7 |  4,5 |    751 |     12
11:27:24         | 11,1 |  5,2 |    867 |     12
11:27:26         | 10,9 |  5,3 |    884 |     12
11:27:28         | 11,2 |  5,3 |    883 |     12
11:27:30         | 10,7 |  5,5 |    917 |     12
11:27:32         | 11,3 |  4,9 |    817 |     12
11:27:34         | 10,5 |  4,4 |    735 |     12
11:27:36         | 10,7 |  5,2 |    867 |     12
11:27:38         | 10,9 |  4,9 |    816 |     12
11:27:40         | 11,5 |  5,2 |    865 |     12
11:27:42         | 11,4 |  5,4 |    899 |     12
11:27:44         | 10,7 |  4,6 |    767 |     12
11:27:46         | 11,1 |  4,9 |    818 |     12
11:27:48         | 11,2 |  5,3 |    882 |     12
11:27:50         | 10,6 |  5,1 |    849 |     12
11:27:52         | 11,2 |  5,1 |    851 |     12
11:27:54         | 11,2 |  4,7 |    784 |     12
11:27:56         | 11,5 |  5,2 |    866 |     12
11:27:58         | 11,2 |  4,8 |    801 |     12
11:28:00         | 11,5 |  5,2 |    868 |     12
11:28:02         | 11,0 |  5,4 |    899 |     12
11:28:04         | 11,4 |  5,4 |    900 |     12
11:28:06         | 11,6 |  4,7 |    785 |     12
11:28:08         | 11,3 |  5,2 |    868 |     12
11:28:10         | 10,9 |  5,4 |    900 |     12
11:28:12         | 11,7 |  5,1 |    851 |     12
11:28:14         | 11,6 |  4,9 |    817 |     12
11:28:16         | 11,1 |  5,5 |    918 |     12
11:28:18         | 11,5 |  5,3 |    884 |     12
11:28:20         | 11,3 |  4,7 |    784 |     12
11:28:22         | 11,1 |  4,6 |    766 |     12
11:28:24         | 11,6 |  5,0 |    833 |     12
11:28:26         | 11,1 |  4,6 |    767 |     12
11:28:28         | 11,6 |  5,5 |    918 |     12
11:28:30         | 11,2 |  4,9 |    818 |     12
11:28:32         | 11,7 |  5,2 |    865 |     12
11:28:34         | 11,7 |  5,5 |    917 |     12
11:28:36         | 11,7 |  5,4 |    902 |     12
11:28:38         | 11,5 |  5,3 |    883 |     12
11:28:40         | 11,4 |  4,8 |    799 |     12
11:28:42         | 11,2 |  5,5 |    918 |     12
11:28:44         | 11,5 |  5,3 |    885 |     12
11:28:46         | 11,9 |  4,7 |    784 |     12
11:28:48         | 11,3 |  4,8 |    801 |     12
11:28:50         | 12,0 |  4,7 |    783 |     12
