=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  5 19:24:12 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
19:24:12         | 10.9 |  0.9 |    152 |     12
19:24:14         | 14.2 |  1.6 |    264 |     12
19:24:16         | 11.1 |  1.7 |    283 |     12
19:24:18         | 10.4 |  1.9 |    313 |     12
19:24:20         | 11.1 |  1.0 |    168 |     12
19:24:22         | 11.2 |  1.2 |    198 |     12
19:24:24         | 10.6 |  1.9 |    317 |     12
19:24:26         | 10.0 |  1.2 |    203 |     12
19:24:28         | 11.1 |  1.5 |    248 |     12
19:24:30         | 10.9 |  1.9 |    316 |     12
19:24:32         | 10.4 |  2.3 |    381 |     12
19:24:34         | 11.1 |  1.5 |    252 |     12
19:24:36         | 11.8 |  2.2 |    368 |     12
19:24:38         | 11.8 |  1.8 |    304 |     12
19:24:40         | 10.8 |  2.2 |    371 |     12
19:24:42         | 12.1 |  2.5 |    419 |     12
19:24:44         | 12.2 |  1.7 |    287 |     12
19:24:46         | 11.8 |  2.7 |    451 |     12
19:24:48         | 11.1 |  2.9 |    482 |     12
19:24:50         | 11.6 |  2.9 |    483 |     12
19:24:52         | 10.8 |  2.2 |    370 |     12
19:24:54         | 10.6 |  2.7 |    454 |     12
19:24:56         | 10.6 |  2.8 |    467 |     12
19:24:58         | 11.0 |  2.2 |    366 |     12
19:25:00         | 10.7 |  3.1 |    515 |     12
19:25:02         | 10.5 |  3.2 |    533 |     12
19:25:04         | 11.0 |  3.3 |    553 |     12
19:25:06         | 10.3 |  2.5 |    417 |     12
19:25:08         | 10.7 |  2.7 |    451 |     12
19:25:10         | 11.2 |  2.5 |    420 |     12
19:25:12         | 11.0 |  3.3 |    548 |     12
19:25:14         | 10.4 |  3.0 |    499 |     12
19:25:16         | 10.6 |  3.4 |    565 |     12
19:25:18         | 10.7 |  3.4 |    563 |     12
19:25:20         | 10.2 |  3.3 |    553 |     12
19:25:22         | 10.4 |  3.4 |    570 |     12
19:25:24         | 10.8 |  3.3 |    548 |     12
19:25:26         | 10.1 |  3.2 |    534 |     12
19:25:28         | 10.2 |  2.9 |    484 |     12
19:25:30         | 10.8 |  3.5 |    584 |     12
19:25:32         | 10.7 |  2.9 |    486 |     12
19:25:34         | 10.4 |  3.2 |    530 |     12
19:25:36         | 10.1 |  2.7 |    448 |     12
19:25:38         |  9.7 |  3.2 |    536 |     12
19:25:40         |  9.5 |  3.3 |    551 |     12
19:25:42         | 10.5 |  3.2 |    532 |     12
19:25:44         |  9.7 |  3.5 |    588 |     12
19:25:46         | 10.1 |  2.7 |    449 |     12
19:25:48         |  9.4 |  2.7 |    452 |     12
19:25:50         | 10.4 |  3.0 |    503 |     12
19:25:52         | 10.2 |  3.5 |    581 |     12
19:25:54         |  9.6 |  3.4 |    568 |     12
19:25:56         |  9.8 |  3.2 |    536 |     12
19:25:58         |  9.9 |  2.8 |    468 |     12
19:26:00         |  9.5 |  3.1 |    519 |     12
19:26:02         |  9.9 |  2.5 |    415 |     12
19:26:04         |  9.1 |  2.6 |    437 |     12
19:26:06         |  9.0 |  3.2 |    534 |     12
19:26:08         | 10.1 |  3.1 |    517 |     12
19:26:10         |  9.4 |  2.8 |    470 |     12
19:26:12         |  9.9 |  3.0 |    502 |     12
19:26:14         |  9.6 |  2.9 |    484 |     12
19:26:16         |  9.7 |  3.2 |    535 |     12
19:26:18         | 10.1 |  3.3 |    548 |     12
19:26:20         |  9.0 |  2.8 |    469 |     12
19:26:22         |  9.1 |  2.9 |    483 |     12
19:26:24         |  9.3 |  3.5 |    587 |     12
19:26:26         |  9.5 |  3.5 |    581 |     12
19:26:28         | 10.0 |  3.1 |    521 |     12
19:26:30         |  9.9 |  3.2 |    532 |     12
19:26:32         |  9.3 |  3.2 |    535 |     12
19:26:34         |  9.6 |  2.5 |    420 |     12
19:26:36         |  9.5 |  2.6 |    438 |     12
19:26:38         |  9.8 |  3.3 |    554 |     12
19:26:40         |  9.5 |  2.5 |    419 |     12
19:26:42         |  9.6 |  3.3 |    552 |     12
19:26:44         |  9.7 |  3.1 |    516 |     12
19:26:46         |  9.2 |  2.6 |    438 |     12
19:26:48         |  9.3 |  3.3 |    554 |     12
19:26:50         |  9.1 |  3.4 |    569 |     12
19:26:52         |  9.0 |  2.5 |    418 |     12
19:26:54         |  9.1 |  2.7 |    452 |     12
19:26:56         |  9.6 |  3.4 |    571 |     12
19:26:58         |  9.2 |  3.5 |    584 |     12
19:27:00         |  9.7 |  2.8 |    467 |     12
19:27:02         |  9.9 |  3.2 |    532 |     12
19:27:04         |  9.6 |  2.8 |    469 |     12
19:27:06         |  9.6 |  2.6 |    432 |     12
19:27:08         |  9.1 |  3.3 |    548 |     12
19:27:10         |  9.0 |  3.5 |    582 |     12
19:27:12         |  9.4 |  2.9 |    485 |     12
19:27:14         |  9.5 |  2.8 |    470 |     12
19:27:16         |  9.5 |  2.8 |    468 |     12
19:27:18         |  9.5 |  2.9 |    483 |     12
19:27:20         |  9.6 |  3.0 |    504 |     12
19:27:22         |  9.5 |  2.5 |    421 |     12
19:27:24         |  8.9 |  3.4 |    568 |     12
19:27:26         |  9.8 |  3.3 |    554 |     12
19:27:28         |  9.5 |  2.8 |    466 |     12
19:27:30         |  9.6 |  2.5 |    417 |     12
19:27:32         |  9.3 |  3.3 |    554 |     12
19:27:34         |  9.2 |  3.5 |    585 |     12
19:27:36         |  9.2 |  3.3 |    548 |     12
19:27:38         |  9.0 |  3.2 |    534 |     12
19:27:40         |  9.5 |  2.5 |    421 |     12
19:27:42         |  9.5 |  3.1 |    516 |     12
19:27:44         |  9.0 |  3.1 |    519 |     12
19:27:46         |  9.3 |  3.4 |    568 |     12
19:27:48         |  9.1 |  2.8 |    469 |     12
19:27:50         |  8.7 |  2.7 |    450 |     12
19:27:52         |  9.1 |  2.9 |    483 |     12
19:27:54         |  9.1 |  3.3 |    552 |     12
19:27:56         |  9.1 |  3.1 |    517 |     12
19:27:58         |  8.6 |  3.4 |    565 |     12
19:28:00         |  9.2 |  3.2 |    534 |     12
19:28:02         |  9.1 |  3.1 |    521 |     12
19:28:04         |  8.7 |  2.8 |    470 |     12
19:28:06         |  8.9 |  3.2 |    537 |     12
19:28:08         |  8.6 |  3.1 |    520 |     12
19:28:10         |  9.0 |  2.5 |    415 |     12
19:28:12         |  8.6 |  3.3 |    554 |     12
19:28:14         |  8.1 |  2.9 |    485 |     12
19:28:16         |  8.4 |  3.4 |    572 |     12
19:28:18         |  9.1 |  3.5 |    583 |     12
19:28:20         |  9.1 |  3.2 |    539 |     12
19:28:22         |  8.3 |  3.1 |    520 |     12
19:28:24         |  8.9 |  3.3 |    554 |     12
19:28:26         |  9.0 |  3.0 |    500 |     12
19:28:28         |  8.3 |  2.5 |    420 |     12
19:28:30         |  8.3 |  3.5 |    584 |     12
19:28:32         |  8.3 |  3.3 |    554 |     12
