 execution: local
        script: load-test/parsec_event_five_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 5 max VUs, 10m30s max duration (incl. graceful stop):
              * multiple_users: 5 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 5 пользователей, длительность 10 минут  source=console
INFO[0004] [VU5][ITER0] skip=400 | статус=200 | время=4699ms | тело=1246067 байт  source=console
INFO[0004] [VU3][ITER0] skip=200 | статус=200 | время=4732ms | тело=1477024 байт  source=console
INFO[0006] [VU2][ITER0] skip=100 | статус=200 | время=6286ms | тело=1505160 байт  source=console
INFO[0006] [VU1][ITER0] skip=0 | статус=200 | время=6342ms | тело=1487887 байт  source=console
INFO[0006] [VU4][ITER0] skip=300 | статус=200 | время=6373ms | тело=1262772 байт  source=console
INFO[0008] [VU5][ITER1] skip=650 | статус=200 | время=3785ms | тело=1386375 байт  source=console
INFO[0009] [VU3][ITER1] skip=450 | статус=200 | время=3809ms | тело=1269511 байт  source=console
INFO[0011] [VU1][ITER1] skip=250 | статус=200 | время=4567ms | тело=1366727 байт  source=console
INFO[0012] [VU4][ITER1] skip=550 | статус=200 | время=5345ms | тело=1392804 байт  source=console
INFO[0013] [VU2][ITER1] skip=350 | статус=200 | время=4799ms | тело=1267402 байт  source=console
INFO[0013] [VU5][ITER2] skip=900 | статус=200 | время=4079ms | тело=1341692 байт  source=console
INFO[0013] [VU3][ITER2] skip=700 | статус=200 | время=4176ms | тело=1362548 байт  source=console
INFO[0016] [VU1][ITER2] skip=500 | статус=200 | время=4367ms | тело=1334401 байт  source=console
INFO[0018] [VU2][ITER2] skip=600 | статус=200 | время=4252ms | тело=1382756 байт  source=console
INFO[0018] [VU5][ITER3] skip=1150 | статус=200 | время=4362ms | тело=1514783 байт  source=console
INFO[0018] [VU4][ITER2] skip=800 | статус=200 | время=5007ms | тело=1359165 байт  source=console
INFO[0021] [VU3][ITER3] skip=950 | статус=200 | время=5866ms | тело=1407887 байт  source=console
INFO[0022] [VU1][ITER3] skip=750 | статус=200 | время=5251ms | тело=1350231 байт  source=console
INFO[0023] [VU4][ITER3] skip=1050 | статус=200 | время=4697ms | тело=1414243 байт  source=console
INFO[0024] [VU2][ITER3] skip=850 | статус=200 | время=4050ms | тело=1326459 байт  source=console
INFO[0024] [VU5][ITER4] skip=1400 | статус=200 | время=4138ms | тело=1500810 байт  source=console
INFO[0026] [VU3][ITER4] skip=1200 | статус=200 | время=4213ms | тело=1483954 байт  source=console
INFO[0027] [VU1][ITER4] skip=1000 | статус=200 | время=4262ms | тело=1432730 байт  source=console
INFO[0028] [VU4][ITER4] skip=1300 | статус=200 | время=4292ms | тело=1540981 байт  source=console
INFO[0028] [VU5][ITER5] skip=1650 | статус=200 | время=4390ms | тело=1511267 байт  source=console
INFO[0031] [VU2][ITER4] skip=1100 | статус=200 | время=5270ms | тело=1508228 байт  source=console
INFO[0033] [VU5][ITER6] skip=1900 | статус=200 | время=4116ms | тело=1501798 байт  source=console
INFO[0033] [VU4][ITER5] skip=1550 | статус=200 | время=4224ms | тело=1402536 байт  source=console
INFO[0033] [VU3][ITER5] skip=1450 | статус=200 | время=6068ms | тело=1450012 байт  source=console
INFO[0033] [VU1][ITER5] skip=1250 | статус=200 | время=5596ms | тело=1512142 байт  source=console
INFO[0035] [VU2][ITER5] skip=1350 | статус=200 | время=3497ms | тело=1471694 байт  source=console
