=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  5 10:24:46 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
10:24:46         |  9.0 |  1.0 |    175 |     12
10:24:48         |  9.2 |  1.9 |    311 |     12
10:24:50         |  9.2 |  1.9 |    311 |     12
10:24:52         |  9.2 |  1.9 |    311 |     12
10:24:54         |  9.2 |  1.9 |    318 |     12
10:24:56         |  9.3 |  2.3 |    374 |     12
10:24:58         |  9.3 |  2.4 |    394 |     12
10:25:00         |  9.3 |  2.5 |    412 |     12
10:25:02         |  9.3 |  2.6 |    419 |     12
10:25:04         |  9.3 |  2.9 |    467 |     12
10:25:06         |  9.3 |  2.9 |    467 |     12
10:25:09         |  9.3 |  3.0 |    487 |     12
10:25:11         |  9.4 |  3.3 |    532 |     12
10:25:13         |  9.4 |  3.3 |    542 |     12
10:25:15         |  9.4 |  3.3 |    542 |     12
10:25:17         |  9.5 |  3.7 |    594 |     12
10:25:19         |  9.5 |  3.7 |    596 |     12
10:25:21         |  9.6 |  3.7 |    597 |     12
10:25:23         |  9.6 |  3.7 |    598 |     12
10:25:25         |  9.6 |  3.7 |    601 |     12
10:25:27         |  9.6 |  3.7 |    598 |     12
10:25:29         |  9.6 |  3.7 |    605 |     12
10:25:31         |  9.6 |  3.7 |    601 |     12
10:25:33         |  9.7 |  3.7 |    601 |     12
10:25:35         |  9.7 |  3.7 |    601 |     12
10:25:38         |  9.7 |  3.7 |    604 |     12
10:25:40         |  9.7 |  3.7 |    601 |     12
10:25:42         |  9.7 |  3.7 |    601 |     12
10:25:44         |  9.7 |  3.7 |    601 |     12
10:25:46         |  9.8 |  3.8 |    618 |     12
10:25:48         |  9.8 |  4.1 |    660 |     12
10:25:50         |  9.8 |  4.1 |    660 |     12
10:25:52         |  9.8 |  4.2 |    685 |     12
10:25:54         |  9.9 |  4.5 |    726 |     12
10:25:56         |  9.9 |  4.6 |    742 |     12
10:25:58         |  9.9 |  4.6 |    742 |     12
10:26:00         |  9.9 |  4.6 |    747 |     12
10:26:02         | 10.0 |  4.6 |    743 |     12
10:26:05         |  9.9 |  4.6 |    743 |     12
10:26:07         | 10.0 |  4.6 |    743 |     12
10:26:09         | 10.0 |  4.6 |    743 |     12
10:26:11         | 10.0 |  4.6 |    743 |     12
10:26:13         | 10.0 |  4.6 |    743 |     12
10:26:15         | 10.1 |  4.6 |    746 |     12
10:26:17         | 10.1 |  4.6 |    743 |     12
10:26:19         | 10.1 |  4.6 |    743 |     12
10:26:21         | 10.1 |  4.6 |    743 |     12
10:26:23         | 10.1 |  4.6 |    743 |     12
10:26:25         | 10.2 |  4.6 |    743 |     12
10:26:27         | 10.2 |  4.6 |    743 |     12
10:26:29         | 10.2 |  4.6 |    743 |     12
10:26:31         | 10.2 |  4.6 |    743 |     12
10:26:34         | 10.2 |  4.6 |    750 |     12
10:26:36         | 10.3 |  4.6 |    743 |     12
10:26:38         | 10.4 |  4.6 |    743 |     12
10:26:40         | 10.3 |  4.6 |    743 |     12
10:26:42         | 10.3 |  4.6 |    746 |     12
10:26:44         | 10.3 |  4.6 |    750 |     12
10:26:46         | 10.5 |  4.6 |    743 |     12
10:26:48         | 10.4 |  4.6 |    743 |     12
10:26:50         | 10.4 |  4.6 |    743 |     12
10:26:52         | 10.4 |  4.6 |    743 |     12
10:26:54         | 10.5 |  4.6 |    747 |     12
10:26:56         | 10.5 |  4.6 |    743 |     12
10:26:58         | 10.5 |  4.6 |    750 |     12
10:27:00         | 10.5 |  4.6 |    743 |     12
10:27:03         | 10.5 |  4.6 |    743 |     12
10:27:05         | 10.5 |  4.6 |    743 |     12
10:27:07         | 10.5 |  4.6 |    744 |     12
10:27:09         | 10.6 |  4.6 |    744 |     12
10:27:11         | 10.6 |  4.6 |    744 |     12
10:27:13         | 10.6 |  4.6 |    744 |     12
10:27:15         | 10.6 |  4.6 |    744 |     12
10:27:17         | 10.6 |  4.6 |    744 |     12
10:27:19         | 10.7 |  4.6 |    744 |     12
10:27:21         | 10.7 |  4.6 |    750 |     12
10:27:23         | 10.7 |  4.7 |    763 |     12
10:27:25         | 10.7 |  4.8 |    768 |     12
10:27:27         | 10.7 |  4.9 |    793 |     12
10:27:30         | 10.8 |  4.9 |    797 |     12
10:27:32         | 10.8 |  4.9 |    797 |     12
10:27:34         | 10.8 |  5.0 |    801 |     12
10:27:36         | 10.8 |  5.0 |    805 |     12
10:27:38         | 10.9 |  4.9 |    797 |     12
10:27:40         | 10.9 |  4.9 |    797 |     12
10:27:42         | 10.9 |  5.0 |    805 |     12
10:27:44         | 11.0 |  4.9 |    797 |     12
10:27:46         | 11.0 |  4.9 |    797 |     12
10:27:48         | 10.9 |  5.0 |    805 |     12
10:27:50         | 11.0 |  5.0 |    799 |     12
10:27:52         | 11.0 |  5.0 |    803 |     12
10:27:54         | 11.0 |  5.0 |    803 |     12
10:27:57         | 11.0 |  5.0 |    806 |     12
10:27:59         | 11.0 |  5.0 |    799 |     12
10:28:01         | 11.1 |  5.0 |    803 |     12
10:28:03         | 11.1 |  5.0 |    799 |     12
10:28:05         | 11.1 |  5.0 |    799 |     12
10:28:07         | 11.1 |  5.0 |    799 |     12
10:28:09         | 11.1 |  5.0 |    799 |     12
10:28:11         | 11.1 |  5.0 |    803 |     12
10:28:13         | 11.1 |  5.0 |    806 |     12
10:28:15         | 11.2 |  5.0 |    799 |     12
10:28:17         | 11.2 |  5.0 |    799 |     12
10:28:19         | 11.2 |  5.0 |    803 |     12
10:28:21         | 11.2 |  5.0 |    799 |     12
10:28:24         | 11.3 |  5.0 |    799 |     12
10:28:26         | 11.3 |  5.0 |    799 |     12
10:28:28         | 11.2 |  5.0 |    803 |     12
10:28:30         | 11.2 |  5.0 |    799 |     12
10:28:32         | 11.3 |  5.0 |    799 |     12
10:28:34         | 11.3 |  5.0 |    799 |     12
10:28:36         | 11.4 |  5.0 |    799 |     12
10:28:38         | 11.4 |  5.0 |    799 |     12
10:28:40         | 11.3 |  5.0 |    799 |     12
10:28:42         | 11.3 |  5.0 |    807 |     12
10:28:44         | 11.4 |  5.0 |    800 |     12
10:28:46         | 11.5 |  5.0 |    804 |     12
10:28:48         | 11.4 |  5.0 |    804 |     12
10:28:51         | 11.4 |  5.0 |    813 |     12
10:28:53         | 11.5 |  5.0 |    804 |     12
10:28:55         | 11.5 |  5.0 |    804 |     12
10:28:57         | 11.5 |  5.0 |    804 |     12
10:28:59         | 11.5 |  5.0 |    804 |     12
10:29:01         | 11.5 |  5.0 |    804 |     12
10:29:03         | 11.5 |  5.0 |    804 |     12
10:29:05         | 11.5 |  5.0 |    804 |     12
10:29:07         | 11.5 |  5.0 |    804 |     12
10:29:09         | 11.6 |  5.0 |    804 |     12
10:29:11         | 11.6 |  5.0 |    804 |     12
10:29:13         | 11.6 |  5.0 |    804 |     12
10:29:15         | 11.6 |  5.0 |    808 |     12
10:29:18         | 11.6 |  5.0 |    805 |     12
10:29:20         | 11.7 |  5.0 |    805 |     12
10:29:22         | 11.6 |  5.0 |    805 |     12
10:29:24         | 11.7 |  5.0 |    808 |     12
10:29:26         | 11.7 |  5.0 |    805 |     12
10:29:28         | 11.7 |  5.0 |    809 |     12
10:29:30         | 11.8 |  5.0 |    805 |     12
10:29:32         | 11.8 |  5.0 |    808 |     12
10:29:34         | 11.8 |  5.0 |    805 |     12
10:29:36         | 11.8 |  5.0 |    805 |     12
10:29:38         | 11.8 |  5.0 |    812 |     12
10:29:40         | 11.9 |  5.0 |    805 |     12
10:29:43         | 11.8 |  5.0 |    805 |     12
10:29:45         | 11.8 |  5.0 |    809 |     12
10:29:47         | 11.8 |  5.0 |    809 |     12
10:29:49         | 11.9 |  5.0 |    813 |     12
10:29:51         | 11.9 |  5.0 |    805 |     12
10:29:53         | 11.9 |  5.0 |    805 |     12
10:29:55         | 11.9 |  5.0 |    805 |     12
10:29:57         | 12.0 |  5.2 |    845 |     12
10:29:59         | 12.0 |  5.3 |    850 |     12
10:30:01         | 12.0 |  5.5 |    882 |     12
10:30:03         | 12.1 |  5.6 |    898 |     12
10:30:05         | 12.1 |  5.6 |    898 |     12
10:30:08         | 12.1 |  5.6 |    902 |     12
10:30:10         | 12.1 |  5.6 |    906 |     12
10:30:12         | 12.1 |  5.6 |    898 |     12
10:30:14         | 12.1 |  5.6 |    898 |     12
10:30:16         | 12.1 |  5.6 |    898 |     12
10:30:18         | 12.2 |  5.6 |    898 |     12
10:30:20         | 12.2 |  5.6 |    898 |     12
10:30:22         | 12.2 |  5.6 |    902 |     12
10:30:24         | 12.2 |  5.6 |    898 |     12
10:30:26         | 12.2 |  5.6 |    898 |     12
