=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  5 10:12:23 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
10:12:23         | 10.7 |  0.7 |    123 |     12
10:12:25         | 14.7 |  1.2 |    205 |     12
10:12:27         | 10.8 |  1.3 |    211 |     12
10:12:29         | 10.2 |  1.4 |    231 |     12
10:12:32         | 10.7 |  1.5 |    241 |     12
10:12:34         | 10.7 |  1.6 |    256 |     12
10:12:36         | 10.2 |  1.6 |    256 |     12
10:12:38         | 10.3 |  1.7 |    275 |     12
10:12:40         | 10.8 |  1.7 |    275 |     12
10:12:42         | 10.5 |  1.7 |    276 |     12
10:12:44         | 10.6 |  1.8 |    297 |     12
10:12:46         | 11.3 |  1.8 |    301 |     12
10:12:48         | 11.4 |  1.9 |    319 |     12
10:12:50         | 11.3 |  2.0 |    335 |     12
10:12:52         | 11.1 |  2.1 |    341 |     12
10:12:54         | 11.9 |  2.1 |    345 |     12
10:12:56         | 11.8 |  2.2 |    364 |     12
10:12:58         | 11.5 |  2.3 |    368 |     12
10:13:01         | 11.5 |  2.4 |    384 |     12
10:13:03         | 11.2 |  2.4 |    384 |     12
10:13:05         | 11.0 |  2.4 |    385 |     12
10:13:07         | 11.1 |  2.5 |    406 |     12
10:13:09         | 10.9 |  2.5 |    410 |     12
10:13:11         | 10.9 |  2.6 |    427 |     12
10:13:13         | 10.9 |  2.7 |    443 |     12
10:13:15         | 10.8 |  2.8 |    449 |     12
10:13:17         | 10.6 |  2.8 |    453 |     12
10:13:19         | 10.7 |  2.9 |    472 |     12
10:13:21         | 10.6 |  2.9 |    475 |     12
10:13:23         | 10.8 |  3.0 |    481 |     12
10:13:25         | 10.6 |  3.0 |    485 |     12
10:13:28         | 10.7 |  3.0 |    482 |     12
10:13:30         | 10.5 |  3.0 |    482 |     12
10:13:32         | 10.7 |  2.9 |    472 |     12
10:13:34         | 10.6 |  3.0 |    483 |     12
10:13:36         | 10.7 |  3.0 |    479 |     12
10:13:38         | 10.5 |  3.0 |    483 |     12
10:13:40         | 10.6 |  3.0 |    479 |     12
10:13:42         | 10.4 |  3.0 |    479 |     12
10:13:44         | 10.3 |  3.0 |    483 |     12
10:13:46         | 10.3 |  3.0 |    480 |     12
10:13:48         | 10.2 |  3.0 |    483 |     12
10:13:50         | 10.2 |  3.0 |    482 |     12
10:13:52         | 10.1 |  3.0 |    482 |     12
10:13:55         | 10.0 |  3.0 |    486 |     12
10:13:57         | 10.0 |  3.0 |    482 |     12
10:13:59         |  9.9 |  3.0 |    486 |     12
10:14:01         | 10.0 |  3.0 |    482 |     12
10:14:03         |  9.8 |  3.0 |    482 |     12
10:14:05         |  9.9 |  3.0 |    482 |     12
10:14:07         |  9.8 |  3.0 |    482 |     12
10:14:09         |  9.6 |  3.0 |    485 |     12
10:14:11         |  9.7 |  3.0 |    482 |     12
10:14:13         |  9.6 |  3.0 |    485 |     12
10:14:15         |  9.7 |  3.0 |    482 |     12
10:14:17         |  9.6 |  3.0 |    486 |     12
10:14:19         |  9.5 |  3.0 |    482 |     12
10:14:21         |  9.4 |  3.0 |    485 |     12
10:14:24         |  9.7 |  3.0 |    482 |     12
10:14:26         |  9.5 |  3.0 |    482 |     12
10:14:28         |  9.7 |  3.0 |    482 |     12
10:14:30         |  9.6 |  3.0 |    490 |     12
10:14:32         |  9.5 |  3.0 |    490 |     12
10:14:34         |  9.6 |  3.0 |    486 |     12
10:14:36         |  9.5 |  3.0 |    490 |     12
10:14:38         |  9.6 |  3.0 |    486 |     12
10:14:40         |  9.6 |  3.0 |    490 |     12
10:14:42         |  9.6 |  3.0 |    486 |     12
10:14:44         |  9.5 |  3.0 |    490 |     12
10:14:46         |  9.7 |  3.0 |    486 |     12
10:14:48         |  9.6 |  3.0 |    490 |     12
10:14:51         |  9.7 |  3.0 |    486 |     12
10:14:53         |  9.6 |  3.0 |    486 |     12
10:14:55         |  9.6 |  3.0 |    486 |     12
10:14:57         |  9.5 |  3.0 |    486 |     12
10:14:59         |  9.6 |  3.0 |    486 |     12
10:15:01         |  9.5 |  3.0 |    486 |     12
10:15:03         |  9.6 |  3.0 |    486 |     12
10:15:05         |  9.5 |  3.0 |    486 |     12
10:15:07         |  9.6 |  3.0 |    486 |     12
10:15:09         |  9.5 |  3.0 |    486 |     12
10:15:11         |  9.6 |  3.0 |    486 |     12
10:15:13         |  9.5 |  3.0 |    486 |     12
10:15:15         |  9.5 |  3.0 |    486 |     12
10:15:18         |  9.5 |  3.0 |    486 |     12
10:15:20         |  9.5 |  3.0 |    487 |     12
10:15:22         |  9.4 |  3.0 |    487 |     12
10:15:24         |  9.4 |  3.0 |    490 |     12
10:15:26         |  9.4 |  3.0 |    487 |     12
10:15:28         |  9.4 |  3.0 |    487 |     12
10:15:30         |  9.5 |  3.0 |    487 |     12
10:15:32         |  9.4 |  3.0 |    487 |     12
10:15:34         |  9.4 |  3.0 |    491 |     12
10:15:36         |  9.4 |  3.0 |    487 |     12
10:15:38         |  9.4 |  3.0 |    487 |     12
10:15:40         |  9.3 |  3.0 |    491 |     12
10:15:42         |  9.3 |  3.0 |    487 |     12
10:15:45         |  9.3 |  3.0 |    491 |     12
10:15:47         |  9.3 |  3.0 |    487 |     12
10:15:49         |  9.2 |  3.0 |    490 |     12
10:15:51         |  9.2 |  3.0 |    487 |     12
10:15:53         |  9.1 |  3.0 |    487 |     12
10:15:55         |  9.1 |  3.0 |    490 |     12
10:15:57         |  9.1 |  3.0 |    487 |     12
10:15:59         |  9.0 |  3.0 |    490 |     12
10:16:01         |  9.0 |  3.0 |    487 |     12
10:16:03         |  9.1 |  3.0 |    487 |     12
10:16:05         |  9.0 |  3.0 |    487 |     12
10:16:07         |  9.0 |  3.0 |    487 |     12
10:16:09         |  8.9 |  3.0 |    487 |     12
10:16:12         |  8.9 |  3.0 |    487 |     12
10:16:14         |  8.9 |  3.0 |    487 |     12
10:16:16         |  8.8 |  3.0 |    489 |     12
10:16:18         |  8.8 |  3.0 |    487 |     12
10:16:20         |  8.8 |  3.0 |    490 |     12
10:16:22         |  8.8 |  3.0 |    487 |     12
10:16:24         |  8.8 |  3.0 |    490 |     12
10:16:26         |  8.8 |  3.0 |    487 |     12
10:16:28         |  8.7 |  3.0 |    490 |     12
10:16:30         |  8.7 |  3.0 |    487 |     12
10:16:32         |  8.7 |  3.0 |    487 |     12
10:16:34         |  8.6 |  3.0 |    487 |     12
10:16:36         |  8.7 |  3.0 |    487 |     12
10:16:39         |  8.7 |  3.0 |    487 |     12
10:16:41         |  8.6 |  3.0 |    487 |     12
10:16:43         |  8.6 |  3.0 |    490 |     12
10:16:45         |  8.7 |  3.0 |    487 |     12
10:16:47         |  8.6 |  3.0 |    487 |     12
10:16:49         |  8.6 |  3.0 |    487 |     12
10:16:51         |  8.6 |  3.0 |    490 |     12
10:16:53         |  8.7 |  3.0 |    487 |     12
10:16:55         |  8.6 |  3.0 |    490 |     12
10:16:57         |  8.6 |  3.0 |    487 |     12
10:16:59         |  8.6 |  3.0 |    487 |     12
10:17:01         |  8.6 |  3.0 |    487 |     12
10:17:03         |  8.5 |  3.0 |    487 |     12
10:17:05         |  8.5 |  3.0 |    490 |     12
10:17:08         |  8.6 |  3.0 |    487 |     12
10:17:10         |  8.5 |  3.0 |    490 |     12
10:17:12         |  8.5 |  3.0 |    487 |     12
10:17:14         |  8.5 |  3.0 |    490 |     12
10:17:16         |  8.6 |  3.0 |    487 |     12
10:17:18         |  8.6 |  3.0 |    491 |     12
