=== Мониторинг приложения на порту 3010 ===
Начало: Вт мая  5 10:39:49 MSK 2026
Интервал: 2 секунды
-------------------------------------------
Время           | CPU% | MEM% | RSS_MB | Потоки
-------------------------------------------
10:39:49         | 10.6 |  1.0 |    170 |     12
10:39:51         | 10.5 |  1.0 |    170 |     12
10:39:54         | 10.5 |  1.0 |    170 |     12
10:39:56         | 10.5 |  1.0 |    170 |     12
10:39:58         | 10.5 |  1.0 |    170 |     12
10:40:00         | 10.5 |  1.0 |    170 |     12
10:40:02         | 10.5 |  1.0 |    170 |     12
10:40:04         | 10.5 |  1.0 |    170 |     12
10:40:06         | 10.5 |  1.0 |    170 |     12
10:40:08         | 10.5 |  1.0 |    170 |     12
10:40:10         | 10.4 |  1.0 |    170 |     12
10:40:12         | 10.4 |  1.0 |    170 |     12
10:40:14         | 10.5 |  1.3 |    222 |     12
10:40:16         | 10.4 |  1.4 |    226 |     12
10:40:18         | 10.5 |  1.5 |    242 |     12
10:40:21         | 10.4 |  1.5 |    245 |     12
10:40:23         | 10.4 |  1.5 |    243 |     12
10:40:25         | 10.4 |  1.5 |    243 |     12
10:40:27         | 10.4 |  1.6 |    260 |     12
10:40:29         | 10.4 |  1.6 |    260 |     12
10:40:31         | 10.5 |  1.9 |    304 |     12
10:40:33         | 10.5 |  1.9 |    304 |     12
10:40:35         | 10.5 |  1.9 |    304 |     12
10:40:37         | 10.5 |  1.9 |    304 |     12
10:40:39         | 10.5 |  1.9 |    305 |     12
10:40:41         | 10.5 |  2.0 |    324 |     12
10:40:43         | 10.5 |  2.1 |    349 |     12
10:40:45         | 10.5 |  2.2 |    367 |     12
10:40:48         | 10.5 |  2.4 |    387 |     12
10:40:50         | 10.5 |  2.7 |    431 |     12
10:40:52         | 10.5 |  2.8 |    452 |     12
10:40:54         | 10.5 |  2.8 |    452 |     12
10:40:56         | 10.5 |  3.2 |    517 |     12
10:40:58         | 10.5 |  3.2 |    521 |     12
10:41:00         | 10.5 |  3.3 |    538 |     12
10:41:02         | 10.6 |  3.4 |    545 |     12
10:41:04         | 10.6 |  3.4 |    545 |     12
10:41:06         | 10.6 |  3.4 |    549 |     12
10:41:08         | 10.6 |  3.4 |    548 |     12
10:41:10         | 10.6 |  3.4 |    546 |     12
10:41:12         | 10.6 |  3.4 |    546 |     12
10:41:15         | 10.6 |  3.4 |    546 |     12
10:41:17         | 10.6 |  3.4 |    546 |     12
10:41:19         | 10.6 |  3.4 |    549 |     12
10:41:21         | 10.6 |  3.4 |    549 |     12
10:41:23         | 10.7 |  3.4 |    546 |     12
10:41:25         | 10.7 |  3.4 |    549 |     12
10:41:27         | 10.7 |  3.4 |    546 |     12
10:41:29         | 10.7 |  3.4 |    550 |     12
10:41:31         | 10.7 |  3.5 |    571 |     12
10:41:33         | 10.7 |  3.8 |    614 |     12
10:41:35         | 10.7 |  4.0 |    653 |     12
10:41:37         | 10.8 |  4.4 |    704 |     12
10:41:40         | 10.8 |  4.4 |    712 |     12
10:41:42         | 10.8 |  4.4 |    706 |     12
10:41:44         | 10.8 |  4.4 |    706 |     12
10:41:46         | 10.9 |  4.4 |    706 |     12
10:41:48         | 10.9 |  4.4 |    706 |     12
10:41:50         | 10.9 |  4.4 |    706 |     12
10:41:52         | 10.9 |  4.4 |    706 |     12
10:41:54         | 11.0 |  4.4 |    706 |     12
10:41:56         | 11.0 |  4.4 |    706 |     12
10:41:58         | 11.0 |  4.6 |    744 |     12
10:42:00         | 11.0 |  4.8 |    769 |     12
10:42:02         | 11.1 |  5.1 |    825 |     12
10:42:04         | 11.1 |  5.2 |    831 |     12
10:42:06         | 11.1 |  5.1 |    825 |     12
10:42:09         | 11.1 |  5.1 |    825 |     12
10:42:11         | 11.1 |  5.1 |    825 |     12
10:42:13         | 11.2 |  5.1 |    829 |     12
10:42:15         | 11.2 |  5.1 |    828 |     12
10:42:17         | 11.2 |  5.1 |    825 |     12
10:42:19         | 11.2 |  5.1 |    825 |     12
10:42:21         | 11.3 |  5.1 |    825 |     12
10:42:23         | 11.3 |  5.2 |    832 |     12
10:42:25         | 11.4 |  5.5 |    890 |     12
10:42:27         | 11.4 |  5.5 |    893 |     12
10:42:29         | 11.4 |  5.5 |    891 |     12
10:42:31         | 11.4 |  5.5 |    891 |     12
10:42:33         | 11.4 |  5.5 |    891 |     12
10:42:36         | 11.5 |  5.5 |    893 |     12
10:42:38         | 11.5 |  5.5 |    891 |     12
10:42:40         | 11.5 |  5.5 |    891 |     12
10:42:42         | 11.5 |  5.5 |    891 |     12
10:42:44         | 11.6 |  5.5 |    894 |     12
10:42:46         | 11.6 |  5.5 |    891 |     12
10:42:48         | 11.6 |  5.5 |    891 |     12
10:42:50         | 11.6 |  5.8 |    942 |     12
10:42:52         | 11.7 |  6.4 |   1036 |     12
10:42:54         | 11.7 |  6.6 |   1060 |     12
10:42:56         | 11.8 |  6.6 |   1057 |     12
10:42:58         | 11.8 |  6.6 |   1057 |     12
10:43:00         | 11.8 |  6.6 |   1061 |     12
10:43:03         | 11.8 |  6.6 |   1057 |     12
10:43:05         | 11.9 |  6.6 |   1058 |     12
10:43:07         | 11.9 |  6.6 |   1058 |     12
10:43:09         | 11.9 |  6.6 |   1066 |     12
10:43:11         | 12.0 |  6.6 |   1068 |     12
10:43:13         | 12.0 |  6.6 |   1058 |     12
10:43:15         | 12.0 |  6.6 |   1058 |     12
10:43:17         | 12.0 |  6.6 |   1065 |     12
10:43:19         | 12.1 |  6.6 |   1065 |     12
10:43:21         | 12.1 |  6.6 |   1058 |     12
10:43:23         | 12.1 |  6.6 |   1061 |     12
10:43:25         | 12.2 |  6.6 |   1058 |     12
10:43:28         | 12.2 |  6.6 |   1058 |     12
10:43:30         | 12.2 |  6.6 |   1058 |     12
10:43:32         | 12.3 |  6.6 |   1058 |     12
10:43:34         | 12.3 |  6.6 |   1062 |     12
10:43:36         | 12.3 |  6.6 |   1058 |     12
10:43:38         | 12.4 |  6.6 |   1058 |     12
10:43:40         | 12.4 |  6.6 |   1059 |     12
10:43:42         | 12.4 |  6.6 |   1059 |     12
10:43:44         | 12.5 |  6.6 |   1063 |     12
10:43:46         | 12.5 |  6.6 |   1059 |     12
10:43:48         | 12.5 |  6.6 |   1059 |     12
10:43:50         | 12.5 |  6.7 |   1088 |     12
10:43:52         | 12.6 |  6.8 |   1094 |     12
10:43:55         | 12.6 |  6.8 |   1098 |     12
10:43:57         | 12.6 |  6.8 |   1098 |     12
10:43:59         | 12.7 |  6.8 |   1094 |     12
10:44:01         | 12.7 |  6.8 |   1094 |     12
10:44:03         | 12.7 |  6.8 |   1094 |     12
10:44:05         | 12.7 |  6.8 |   1094 |     12
10:44:07         | 12.8 |  6.8 |   1094 |     12
10:44:09         | 12.8 |  6.8 |   1094 |     12
10:44:11         | 12.8 |  6.8 |   1097 |     12
10:44:13         | 13.0 |  6.8 |   1094 |     12
10:44:15         | 13.1 |  6.8 |   1094 |     12
10:44:17         | 13.0 |  6.8 |   1101 |     12
10:44:19         | 13.9 |  6.8 |   1097 |     12
10:44:22         | 14.0 |  6.8 |   1098 |     12
10:44:24         | 14.0 |  6.8 |   1094 |     12
10:44:26         | 14.0 |  6.8 |   1094 |     12
10:44:28         | 14.0 |  6.8 |   1094 |     12
10:44:30         | 14.1 |  6.8 |   1094 |     12
10:44:32         | 14.1 |  6.8 |   1094 |     12
10:44:34         | 14.1 |  6.8 |   1094 |     12
10:44:36         | 14.1 |  6.8 |   1094 |     12
10:44:38         | 14.1 |  6.8 |   1102 |     12
10:44:40         | 14.2 |  7.0 |   1126 |     12
10:44:42         | 14.2 |  7.1 |   1136 |     12
10:44:44         | 14.3 |  7.1 |   1137 |     12
10:44:46         | 14.3 |  7.1 |   1137 |     12
10:44:49         | 14.3 |  7.1 |   1137 |     12
10:44:51         | 14.3 |  7.1 |   1137 |     12
10:44:53         | 14.4 |  7.1 |   1137 |     12
10:44:55         | 14.4 |  7.1 |   1137 |     12
10:44:57         | 14.4 |  7.1 |   1137 |     12
10:44:59         | 14.4 |  7.1 |   1137 |     12
10:45:01         | 14.5 |  7.1 |   1137 |     12
10:45:03         | 14.5 |  7.1 |   1137 |     12
10:45:05         | 14.5 |  7.1 |   1137 |     12
10:45:07         | 14.6 |  7.2 |   1155 |     12
10:45:09         | 14.6 |  7.2 |   1155 |     12
10:45:11         | 14.6 |  7.2 |   1163 |     12
10:45:13         | 14.6 |  7.2 |   1157 |     12
10:45:16         | 14.7 |  7.2 |   1157 |     12
10:45:18         | 14.7 |  7.2 |   1157 |     12
10:45:20         | 14.7 |  7.2 |   1157 |     12
10:45:22         | 14.7 |  7.2 |   1163 |     12
10:45:24         | 14.8 |  7.2 |   1157 |     12
10:45:26         | 14.8 |  7.2 |   1157 |     12
10:45:28         | 14.8 |  7.2 |   1164 |     12
10:45:30         | 14.8 |  7.2 |   1161 |     12
10:45:32         | 14.9 |  7.2 |   1161 |     12
10:45:34         | 14.9 |  7.2 |   1157 |     12
10:45:36         | 14.9 |  7.2 |   1157 |     12
10:45:38         | 14.9 |  7.2 |   1160 |     12
10:45:41         | 15.1 |  7.2 |   1157 |     12
10:45:43         | 15.0 |  7.2 |   1157 |     12
10:45:45         | 15.0 |  7.2 |   1163 |     12
10:45:47         | 15.0 |  7.2 |   1157 |     12
10:45:49         | 15.1 |  7.2 |   1157 |     12
10:45:51         | 15.1 |  7.2 |   1157 |     12
10:45:53         | 15.1 |  7.2 |   1157 |     12
10:45:55         | 15.1 |  7.2 |   1160 |     12
10:45:57         | 15.2 |  7.2 |   1157 |     12
10:45:59         | 15.2 |  7.2 |   1160 |     12
10:46:01         | 15.2 |  7.3 |   1171 |     12
10:46:03         | 15.3 |  7.7 |   1235 |     12
10:46:05         | 15.3 |  7.7 |   1236 |     12
10:46:08         | 15.3 |  7.7 |   1236 |     12
10:46:10         | 15.3 |  7.7 |   1240 |     12
10:46:12         | 15.4 |  7.7 |   1239 |     12
10:46:14         | 15.4 |  7.7 |   1236 |     12
10:46:16         | 15.4 |  7.7 |   1244 |     12
10:46:18         | 15.4 |  7.7 |   1236 |     12
10:46:20         | 15.4 |  7.8 |   1248 |     12
10:46:22         | 15.5 |  7.7 |   1244 |     12
10:46:24         | 15.5 |  7.7 |   1236 |     12
10:46:26         | 15.5 |  7.7 |   1236 |     12
10:46:28         | 15.6 |  7.7 |   1236 |     12
10:46:30         | 15.6 |  7.7 |   1236 |     12
10:46:33         | 15.6 |  7.7 |   1236 |     12
10:46:35         | 15.6 |  7.7 |   1239 |     12
10:46:37         | 15.7 |  7.7 |   1236 |     12
10:46:39         | 15.7 |  7.7 |   1236 |     12
10:46:41         | 15.7 |  7.7 |   1236 |     12
10:46:43         | 15.7 |  7.7 |   1236 |     12
10:46:45         | 15.7 |  7.7 |   1236 |     12
10:46:47         | 15.8 |  7.7 |   1236 |     12
10:46:49         | 15.8 |  7.8 |   1247 |     12
10:46:51         | 15.8 |  7.7 |   1236 |     12
10:46:53         | 15.8 |  7.7 |   1246 |     12
10:46:55         | 15.8 |  7.7 |   1236 |     12
10:46:57         | 15.9 |  7.7 |   1236 |     12
10:47:00         | 15.9 |  7.7 |   1236 |     12
10:47:02         | 15.9 |  7.7 |   1236 |     12
10:47:04         | 15.0 |  7.7 |   1236 |     12
10:47:06         | 15.0 |  7.7 |   1236 |     12
10:47:08         | 15.0 |  7.7 |   1236 |     12
10:47:10         | 15.0 |  7.7 |   1243 |     12
10:47:12         | 15.0 |  7.7 |   1236 |     12
10:47:14         | 15.0 |  7.7 |   1236 |     12
10:47:16         | 15.1 |  7.7 |   1245 |     12
10:47:18         | 15.1 |  7.7 |   1240 |     12
10:47:20         | 15.1 |  7.7 |   1236 |     12
10:47:22         | 15.1 |  7.7 |   1243 |     12
10:47:25         | 15.1 |  7.7 |   1236 |     12
10:47:27         | 15.1 |  7.7 |   1236 |     12
10:47:29         | 15.1 |  7.7 |   1236 |     12
10:47:31         | 15.1 |  7.7 |   1236 |     12
10:47:33         | 15.1 |  7.7 |   1239 |     12
10:47:35         | 14.2 |  7.2 |   1236 |     12
10:47:37         | 14.2 |  7.3 |   1236 |     12
10:47:39         | 14.2 |  7.2 |   1239 |     12
10:47:41         | 14.2 |  7.1 |   1236 |     12
10:47:43         | 14.2 |  7.3 |   1236 |     12
10:47:45         | 14.2 |  7.3 |   1242 |     12
10:47:47         | 14.2 |  7.3 |   1236 |     12
10:47:49         | 14.2 |  7.3 |   1241 |     12
10:47:52         | 14.3 |  7.3 |   1239 |     12
10:47:54         | 14.3 |  7.2 |   1245 |     12
10:47:56         | 13.6 |  7.2 |   1239 |     12
10:47:58         | 13.8 |  6.9 |   1239 |     12
10:48:00         | 13.9 |  6.9 |   1236 |     12
10:48:02         | 13.5 |  6.9 |   1239 |     12
10:48:04         | 13.3 |  6.7 |   1245 |     12
10:48:06         | 13.3 |  6.7 |   1236 |     12
10:48:08         | 13.4 |  6.7 |   1236 |     12
10:48:10         | 13.4 |  6.7 |   1236 |     12
10:48:12         | 13.4 |  6.7 |   1246 |     12
10:48:14         | 13.4 |  6.7 |   1239 |     12
10:48:16         | 13.4 |  6.7 |   1242 |     12
10:48:19         | 13.4 |  6.7 |   1236 |     12
10:48:21         | 13.4 |  6.7 |   1236 |     12
10:48:23         | 13.4 |  6.7 |   1236 |     12
10:48:25         | 12.9 |  6.2 |   1240 |     12
10:48:27         | 13.0 |  6.2 |   1236 |     12
10:48:29         | 13.5 |  6.2 |   1236 |     12
10:48:31         | 13.0 |  6.2 |   1246 |     12
10:48:33         | 12.9 |  6.2 |   1236 |     12
10:48:35         | 12.5 |  6.2 |   1243 |     12
10:48:37         | 12.5 |  6.9 |   1236 |     12
10:48:39         | 12.5 |  7.1 |   1246 |     12
10:48:41         | 12.5 |  7.1 |   1236 |     12
10:48:43         | 12.5 |  7.1 |   1236 |     12
10:48:46         | 12.5 |  7.1 |   1246 |     12
10:48:48         | 12.5 |  7.1 |   1239 |     12
10:48:50         | 12.5 |  7.1 |   1236 |     12
10:48:52         | 12.5 |  7.2 |   1236 |     12
10:48:54         | 12.5 |  7.2 |   1236 |     12
10:48:56         | 11.9 |  7.2 |   1236 |     12
10:48:58         | 11.9 |  7.2 |   1239 |     12
10:49:00         | 11.9 |  7.2 |   1236 |     12
10:49:02         | 11.6 |  7.2 |   1236 |     12
10:49:04         | 11.6 |  7.2 |   1240 |     12
10:49:06         | 11.6 |  7.2 |   1248 |     12
10:49:08         | 11.6 |  7.2 |   1236 |     12
10:49:10         | 11.6 |  7.2 |   1241 |     12
10:49:13         | 11.6 |  7.2 |   1249 |     12
10:49:15         | 11.6 |  7.1 |   1236 |     12
10:49:17         | 11.6 |  7.1 |   1242 |     12
10:49:19         | 11.6 |  7.1 |   1246 |     12
10:49:21         | 11.6 |  7.2 |   1236 |     12
10:49:23         | 11.6 |  7.2 |   1241 |     12
10:49:25         | 11.6 |  7.2 |   1240 |     12
10:49:27         | 11.6 |  7.2 |   1236 |     12
10:49:29         | 11.6 |  7.0 |   1236 |     12
10:49:31         | 11.6 |  7.0 |   1236 |     12
10:49:33         | 11.6 |  7.0 |   1236 |     12
10:49:35         | 11.6 |  7.0 |   1241 |     12
10:49:37         | 11.6 |  7.0 |   1245 |     12
10:49:40         | 11.6 |  7.1 |   1236 |     12
10:49:42         | 11.6 |  7.1 |   1241 |     12
10:49:44         | 11.6 |  7.1 |   1236 |     12
10:49:46         | 11.6 |  7.1 |   1240 |     12
10:49:48         | 11.6 |  7.0 |   1236 |     12
10:49:50         | 11.5 |  7.0 |   1236 |     12
10:49:52         | 11.5 |  6.7 |   1240 |     12
10:49:54         | 10.9 |  6.9 |   1236 |     12
10:49:56         | 11.0 |  7.0 |   1241 |     12
