execution: local
        script: load-test/parsec_event_stage_load.js
        output: -

     scenarios: (100.00%) 1 scenario, 10 max VUs, 10m30s max duration (incl. graceful stop):
              * ramping_load: Up to 10 looping VUs for 10m0s over 3 stages (gracefulRampDown: 30s, gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста с постепенным изменением нагрузки  source=console
INFO[0000] 📈 Профиль: 0 → 10 VUs (3 мин) → 10 VUs (4 мин) → 0 VUs (3 мин)  source=console
INFO[0000] 📊 Метрики будут доступны для построения графиков в Grafana/K6 Cloud  source=console
INFO[0025] ⬆️ [RAMPUP] VU:4/10 | Iter:0 | Skip:300 | Status:200 | Time:5132ms | Events:250 | Size:1233.18KB  source=console
INFO[0029] ⬆️ [RAMPUP] VU:4/10 | Iter:1 | Skip:550 | Status:200 | Time:5363ms | Events:250 | Size:1360.16KB  source=console
INFO[0031] ⬆️ [RAMPUP] VU:4/10 | Iter:2 | Skip:800 | Status:200 | Time:3911ms | Events:250 | Size:1327.31KB  source=console
INFO[0035] ⬆️ [RAMPUP] VU:4/10 | Iter:3 | Skip:1050 | Status:200 | Time:5006ms | Events:250 | Size:1381.10KB  source=console
INFO[0038] ⬆️ [RAMPUP] VU:4/10 | Iter:4 | Skip:1300 | Status:200 | Time:4806ms | Events:250 | Size:1504.86KB  source=console
INFO[0042] ⬆️ [RAMPUP] VU:4/10 | Iter:5 | Skip:1550 | Status:200 | Time:5172ms | Events:250 | Size:1369.66KB  source=console
INFO[0043] ⬆️ [RAMPUP] VU:1/10 | Iter:0 | Skip:0 | Status:200 | Time:4934ms | Events:250 | Size:1453.01KB  source=console
INFO[0045] ⬆️ [RAMPUP] VU:4/10 | Iter:6 | Skip:1800 | Status:200 | Time:5467ms | Events:250 | Size:1595.48KB  source=console
INFO[0047] ⬆️ [RAMPUP] VU:1/10 | Iter:1 | Skip:250 | Status:200 | Time:4823ms | Events:250 | Size:1334.69KB  source=console
INFO[0048] ⬆️ [RAMPUP] VU:4/10 | Iter:7 | Skip:2050 | Status:200 | Time:3993ms | Events:250 | Size:1463.67KB  source=console
INFO[0049] ⬆️ [RAMPUP] VU:1/10 | Iter:2 | Skip:500 | Status:200 | Time:5292ms | Events:250 | Size:1303.13KB  source=console
INFO[0051] ⬆️ [RAMPUP] VU:4/10 | Iter:8 | Skip:2300 | Status:200 | Time:4543ms | Events:250 | Size:1673.98KB  source=console
INFO[0053] ⬆️ [RAMPUP] VU:1/10 | Iter:3 | Skip:750 | Status:200 | Time:5601ms | Events:250 | Size:1318.58KB  source=console
INFO[0054] ⬆️ [RAMPUP] VU:4/10 | Iter:9 | Skip:2550 | Status:200 | Time:5693ms | Events:250 | Size:1550.80KB  source=console
INFO[0056] ⬆️ [RAMPUP] VU:1/10 | Iter:4 | Skip:1000 | Status:200 | Time:5535ms | Events:250 | Size:1399.15KB  source=console
INFO[0057] ⬆️ [RAMPUP] VU:4/10 | Iter:10 | Skip:2800 | Status:200 | Time:4284ms | Events:250 | Size:1405.39KB  source=console
INFO[0059] ⬆️ [RAMPUP] VU:1/10 | Iter:5 | Skip:1250 | Status:200 | Time:4537ms | Events:250 | Size:1476.70KB  source=console
INFO[0060] ⬆️ [RAMPUP] VU:4/10 | Iter:11 | Skip:3050 | Status:200 | Time:4285ms | Events:250 | Size:1382.91KB  source=console
INFO[0061] ⬆️ [RAMPUP] VU:2/10 | Iter:0 | Skip:100 | Status:200 | Time:4512ms | Events:250 | Size:1469.88KB  source=console
INFO[0062] ⬆️ [RAMPUP] VU:1/10 | Iter:6 | Skip:1500 | Status:200 | Time:5418ms | Events:250 | Size:1369.29KB  source=console
INFO[0063] ⬆️ [RAMPUP] VU:4/10 | Iter:12 | Skip:3300 | Status:200 | Time:5651ms | Events:250 | Size:1620.08KB  source=console
INFO[0064] ⬆️ [RAMPUP] VU:2/10 | Iter:1 | Skip:350 | Status:200 | Time:5326ms | Events:250 | Size:1237.70KB  source=console
INFO[0066] ⬆️ [RAMPUP] VU:1/10 | Iter:7 | Skip:1750 | Status:200 | Time:4604ms | Events:250 | Size:1592.06KB  source=console
INFO[0067] ⬆️ [RAMPUP] VU:4/10 | Iter:13 | Skip:3550 | Status:200 | Time:4635ms | Events:250 | Size:1788.61KB  source=console
INFO[0067] ⬆️ [RAMPUP] VU:2/10 | Iter:2 | Skip:600 | Status:200 | Time:4219ms | Events:250 | Size:1350.35KB  source=console
INFO[0068] ⬆️ [RAMPUP] VU:1/10 | Iter:8 | Skip:2000 | Status:200 | Time:4500ms | Events:250 | Size:1429.40KB  source=console
INFO[0070] ⬆️ [RAMPUP] VU:4/10 | Iter:14 | Skip:3800 | Status:200 | Time:5361ms | Events:250 | Size:1481.23KB  source=console
INFO[0070] ⬆️ [RAMPUP] VU:2/10 | Iter:3 | Skip:850 | Status:200 | Time:5159ms | Events:250 | Size:1295.37KB  source=console
INFO[0072] ⬆️ [RAMPUP] VU:1/10 | Iter:9 | Skip:2250 | Status:200 | Time:5174ms | Events:250 | Size:1647.94KB  source=console
INFO[0073] ⬆️ [RAMPUP] VU:4/10 | Iter:15 | Skip:4050 | Status:200 | Time:4061ms | Events:250 | Size:1540.69KB  source=console
INFO[0074] ⬆️ [RAMPUP] VU:2/10 | Iter:4 | Skip:1100 | Status:200 | Time:4410ms | Events:250 | Size:1472.88KB  source=console
INFO[0076] ⬆️ [RAMPUP] VU:1/10 | Iter:10 | Skip:2500 | Status:200 | Time:5359ms | Events:250 | Size:1566.92KB  source=console
INFO[0076] ⬆️ [RAMPUP] VU:4/10 | Iter:16 | Skip:4300 | Status:200 | Time:5451ms | Events:250 | Size:1765.42KB  source=console
